Grant Name,Sponsor,Link,Open Date,Deadline,Status
"Artificial Intelligence, Formal Methods, and Mathematical Reasoning (24-554)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/352796,03/05/2024,02/05/2026,posted
Broad Agency Announcement for Fundamental AI Research (W519TC-25-S-0001),Army Contracting Command Rock Island,https://www.grants.gov/search-results-detail/358687,04/16/2025,,forecasted
Artificial Intelligence and Technology Collaboratory (RFA-AG-26-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359654,06/12/2025,,forecasted
Artificial Intelligence and Technology Collaboratory Coordinating Center (RFA-AG-26-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359652,06/09/2025,,forecasted
Mathematical Foundations of Artificial Intelligence (24-569),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353936,05/02/2024,10/10/2025,posted
Humanities Research Centers on Artificial Intelligence (20251210-RAI),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/357951,07/08/2025,10/01/2025,posted
New Generation of Glucose Control Technologies Incorporating AI/ML Tools/Strategies (NOT-DK-26-307),National Institutes of Health,https://www.grants.gov/search-results-detail/359200,06/18/2025,,forecasted
Test Bed: Toward a Network of Programmable Cloud Laboratories (25-541),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/360244,08/05/2025,11/20/2025,posted
Examining the Impact of Artificial Intelligence (AI) on Healthcare Safety (R18) (PA-24-261),Agency for Health Care Research and Quality,https://www.grants.gov/search-results-detail/355419,07/16/2024,05/25/2027,posted
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,06/02/2025,,forecasted
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/325932,04/01/2020,03/31/2027,posted
Measurement Science and Engineering (MSE) Research Grant Programs (2025-NIST-MSE-01),National Institute of Standards and Technology,https://www.grants.gov/search-results-detail/358955,05/14/2025,,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,08/25/2025,09/24/2025,posted
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360356,08/25/2025,09/24/2025,posted
Annual Program Statement (APS) (PDS-ATHENS-FY25-01),U.S. Mission to Greece,https://www.grants.gov/search-results-detail/359266,06/06/2025,,forecasted
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001),National Geospatial-Intelligence Agency ,https://www.grants.gov/search-results-detail/351404,12/15/2023,12/14/2026,posted
NIST MEP Competitive Awards Program (2021-NIST-MEP-CAP-01),National Institute of Standards and Technology,https://www.grants.gov/search-results-detail/330597,12/28/2020,,posted
IUSE/Professional Formation of Engineers:  Revolutionizing Engineering Departments (24-564),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353413,04/05/2024,09/09/2025,posted
Engineering Design and Systems Engineering (PD-19-072Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/306170,06/12/2018,,posted
Biosensing (PD-20-7909),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320536,09/12/2019,,posted
Research in the Formation of Engineers (PD-24-1340),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350230,09/17/2023,,posted
Utilizing Real-World Data and Algorithmic Analyses to Assess Post-Market Clinical Outcomes in Patients Switching Amongst Therapeutically Equivalent Complex Generic Drug Products and Reference Listed Drugs (U01) Clinical Trial Not Allowed (FOR-FD-24-003),Food and Drug Administration,https://www.grants.gov/search-results-detail/351125,11/24/2023,,forecasted
Fluid Dynamics (PD-23-1443),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347020,03/21/2023,,posted
NIDCR Small Research Grants for Analyses of Existing Genomics Data (R03 Clinical Trial Not Allowed) (PAR-25-166),National Institutes of Health,https://www.grants.gov/search-results-detail/357210,11/18/2024,05/07/2026,posted
NIDCR Research Grants for Analyses of Existing Genomics Data (R01) (Clinical Trial Not Allowed) (PAR-25-164),National Institutes of Health,https://www.grants.gov/search-results-detail/357212,11/18/2024,05/07/2026,posted
Notice of Intent to Publish a Funding Opportunity Announcement for Diabetes Research Centers (P30 Clinical Trial Optional) (NOT-DK-26-310),National Institutes of Health,https://www.grants.gov/search-results-detail/359145,05/27/2025,,forecasted
Research on Innovative Technologies for Enhanced Learning (23-624),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350347,09/27/2023,11/04/2025,posted
Fire Science Innovations through Research and Education (PD-25-345Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358568,03/16/2025,02/10/2026,posted
PRIMED-AI: Logistics Center (U24 Clinical Trial Not Allowed) (NOT-RM-25-026),National Institutes of Health,https://www.grants.gov/search-results-detail/359268,06/06/2025,,forecasted
PRIMED-AI: Validation Center (U54 Clinical Trial Not Allowed)&#8239; (NOT-RM-25-025),National Institutes of Health,https://www.grants.gov/search-results-detail/359269,06/06/2025,,forecasted
PRIMED-AI: Translating Models to Clinic (UG3/UH3 Clinical Trial Optional) (NOT-RM-25-023),National Institutes of Health,https://www.grants.gov/search-results-detail/359666,06/10/2025,,forecasted
Tribal Colleges and Universities Program (21-595),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/334326,06/24/2021,09/02/2025,posted
Community Based Participatory Research To Advance DAta and Practice Transformation (ADAPT) For Optimizing Oral Health For All Across the Lifespan (UG3/UH3 Clinical Trial Optional) (NOT-DE-25-049),National Institutes of Health,https://www.grants.gov/search-results-detail/358864,05/12/2025,,forecasted
"Community Engagement Evaluation and Data Coordination (CEED) Hub to Advance Data and Practice Transformation for Optimizing Oral Health For All Across the Lifespan (U01, Clinical Trial Not Allowed) (NOT-DE-26-005)",National Institutes of Health,https://www.grants.gov/search-results-detail/359123,05/27/2025,,forecasted
PRIMED-AI: Multi-use Framework Playbooks (UG3 Clinical Trial Not Allowed) (NOT-RM-25-020),National Institutes of Health,https://www.grants.gov/search-results-detail/359271,06/06/2025,,forecasted
PRIMED-AI: Academic-Industrial Partnerships (UG3/UH3 Clinical Trial Optional) (NOT-RM-25-021),National Institutes of Health,https://www.grants.gov/search-results-detail/359270,06/06/2025,,forecasted
