Grant Name,Sponsor,Link,Open Date,Deadline,Status
Realize Energy-rich Compound Opportunities Valorizing Extraction from Refuse waters (RECOVER),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=357286,11/21/2024,08/28/2025,posted
Realize Energy-rich Compound Opportunities Valorizing Extraction from Refuse waters SBIR/STTR (RECOVER SBIR/STTR),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=357287,11/21/2024,08/28/2025,posted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY,Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356623,10/02/2024,09/29/2029,posted
Reliable Ore Characterization with Keystone Sensing (ROCKS),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360353,08/25/2025,09/25/2025,posted
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360354,08/25/2025,09/25/2025,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360355,08/25/2025,09/24/2025,posted
Electrochemical Systems,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347329,04/05/2023,,posted
Renewable Energy Systems and Energy Efficiency Improvements Program,Rural Business-Cooperative Service ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=279638,10/13/2015,,posted
Renewable Energy Systems and Energy Efficiency Improvements Program,Rural Business-Cooperative Service ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=310029,10/30/2018,,posted
"Electronics, Photonics and Magnetic Devices",U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=345872,02/08/2023,,posted
Catalysis,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=348932,06/27/2023,,posted
Energy Improvements in Rural or Remote Areas &ndash; Fiscal Year 2025 Release,Headquarters,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356630,10/03/2024,08/28/2025,posted
Combustion and Fire Systems,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347509,04/14/2023,,posted
Algorithms for Modern Power Systems,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=337984,02/11/2022,02/09/2026,posted
Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process,U.S. Mission to Spain,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344137,10/21/2022,,forecasted
US Army Combat Capabilities Development Command Broad Agency Announcement,ACC APG - Natick,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360012,07/14/2025,02/27/2030,posted
Interfacial Engineering,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347326,04/05/2023,,posted
Public Diplomacy Small Grants Program,U.S. Mission to the European Union,https://www.grants.gov/web/grants/view-opportunity.html?oppId=327185,05/20/2020,,forecasted
DHA-  Military Health System Research Program,Dept. of the Army -- USAMRAA,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359250,06/04/2025,10/17/2025,posted
Cooperative Agreement for Affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU),Geological Survey,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360348,08/22/2025,09/22/2025,posted
"Mind, Machine and Motor Nexus",U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358682,04/16/2025,,posted
Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed),National Institutes of Health,https://www.grants.gov/web/grants/view-opportunity.html?oppId=357625,12/10/2024,06/18/2026,posted
Clinical and Translational Science Award (UM1 Clinical Trial Optional),National Institutes of Health,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356316,09/03/2024,09/28/2027,posted
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support,Idaho Field Office,https://www.grants.gov/web/grants/view-opportunity.html?oppId=329436,10/15/2020,10/14/2030,posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program,Office of Science,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356590,09/30/2024,09/30/2025,posted
Thermal Transport Processes,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347324,04/05/2023,,posted
"Energy, Power, Control, and Networks",U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=348258,05/19/2023,,posted
MINE HEALTH AND SAFETY STATE GRANTS,Mine Safety and Health Administration,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360276,08/11/2025,09/09/2025,posted
Brookwood-Sago Mine Safety Grants,Mine Safety and Health Administration,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360323,08/21/2025,09/19/2025,posted
Fluid Dynamics,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347020,03/21/2023,,posted
Geospace Cluster,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356536,09/26/2024,,posted
MPPEP Phase 3 Invasive Wild-Caught Catfish,Rural Business-Cooperative Service ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360256,08/07/2025,10/06/2025,posted
NOI to Issue Infrastructure Investment and Jobs Act (IIJA) Funding Opportunity Announcement No. DE-FOA-0003587 titled &ldquo;Rare Earth Elements Demonstration Facility&rdquo;.,National Energy Technology Laboratory,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360287,08/13/2025,10/13/2025,posted
Notice of Intent to issue Critical Minerals and Materials Accelerator Notice of Funding Opportunity,Golden Field Office,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360290,08/13/2025,10/13/2025,posted
"Communications, Circuits, and Sensing-Systems",U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=346204,02/17/2023,,posted
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed),National Institutes of Health,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359970,07/17/2025,,forecasted
FY 2023 Disaster Supplemental,Economic Development Administration,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347414,04/24/2023,,posted
