Rank,Grant Name,Sponsor,Link,Deadline,Award Max,Match %,Internal Status,Relevance,EQORE Fit,Ease of Use,Weighted Score,Rationale
1,NSF SBIR/STTR Phase I (NSF 24-579),National Science Foundation,https://www.nsf.gov/funding/opportunities/sbirsttr-phase-i-nsf-small-business-innovation-research-small-business/nsf24-579/solicitation,2025-11-05,305000.0,0%,Review,5,4,3,12.0,Core federal R&D for controls/BTM
2,MassCEC AmplifyMass (Rolling),Massachusetts Clean Energy Center,https://www.masscec.com/program/amplifymass,,300000.0,Var.,Researching,3,4,4,9.600000000000001,Stacks with federal/CEC awards
3,GFO-24-312 Advanced Grid Technology Acceleration,California Energy Commission,https://www.energy.ca.gov/solicitations/2025-06/gfo-24-312-advanced-grid-technology-acceleration-projects,2025-10-17,12000000.0,30%,Prioritized,5,4,2,8.0,CA grid-tech demos; tight timeline/match
4,Improving Net-Load Forecasting w/ BtM Data,California Energy Commission (EPIC),https://www.energy.ca.gov/solicitations/2025-08/improving-load-net-forecasting-models-integrating-data-behind-meter-resources,,3000000.0,TBD,Discovered,3,4,3,7.199999999999999,Direct to BtM/VPP modeling
5,"NSF Translation to Practice (TTP, 25-540)",National Science Foundation,https://www.nsf.gov/funding/opportunities/translation-practice-ttp/nsf25-540/solicitation,2025-09-16,1000000.0,0%,Researching,3,4,3,7.199999999999999,Prototype→pilot for community systems
6,DOE Building Technologies Office (BTO) FOA (2025),U.S. DOE – EERE BTO,https://www.energy.gov/eere/buildings/building-technologies-office,,,Var.,Discovered,4,3,3,7.199999999999999,Demand flexibility / DER in buildings
7,DOE Solar Energy Technologies Office (SETO) FOA (2025),U.S. DOE – EERE SETO,https://www.energy.gov/eere/solar/solar-energy-technologies-office,,,Var.,Discovered,3,3,3,5.3999999999999995,PV+storage orchestration pilots
8,NSF Infrastructure Systems & People (PD‑25‑342Y),National Science Foundation,https://grants.gov/search-results-detail/358397,,,0%,Researching,3,3,3,5.3999999999999995,Socio‑technical infra incl. grid/DER
9,LBE Decarbonization Implementation Grants,MA DOER – Leading by Example,https://www.mass.gov/info-details/leading-by-example-decarbonization-implementation-grant-program,,,0%,Researching,3,3,3,5.3999999999999995,Municipal sites w/ storage potential
10,ARPA‑E SPARKS (DE‑FOA‑0003164),U.S. DOE ARPA‑E,https://grants.gov/search-results-detail/350952,2029-09-30,500000.0,0%,Prioritized,3,3,3,5.3999999999999995,Flexible concept path for VPP/BTM
11,NSF Future CoRe: CPS (25-543),National Science Foundation,https://new.nsf.gov/funding/opportunities/future-core/cyber-physical-systems-cps/nsf25-543/solicitation,2025-09-11,,0%,Researching,3,3,3,5.3999999999999995,Grid-aware CPS for DER/VPP
12,NSF S&CC Development Grants (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,150000.0,0%,Researching,3,3,3,5.3999999999999995,Seed for community VPP pilots
13,NSF VINES – Track 2 (25‑539),National Science Foundation,https://www.nsf.gov/funding/opportunities/vines-verticals-enabling-intelligent-network-systems/nsf25-539/solicitation,2025-09-25,6000000.0,0%,Time‑critical,3,3,2,3.6,NextG networking for VPP comms
14,NSF S&CC IRG (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,1500000.0,0%,Researching,3,3,2,3.6,Larger research + pilot validation
15,EDA FY25 Disaster Supplemental,U.S. Economic Development Administration,https://www.grants.gov/search-results-detail/359225,,50000000.0,0–20%,Prioritized,3,2,3,3.5999999999999996,Fund resilience projects via partners
16,NSF S&CC LSR (25-527),National Science Foundation,https://www.nsf.gov/funding/opportunities/scc-smart-connected-communities/nsf25-527/solicitation,2025-09-08,5000000.0,0%,Researching,3,2,2,2.4000000000000004,Ambitious scale; heavy lift
17,DOE Vehicle Technologies Office (VTO) FOA (2025),U.S. DOE – EERE VTO,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,,,20%+,Discovered,3,2,2,2.4000000000000004,EV‑grid overlap with VPP controls
18,FEMA Hazard Mitigation Grant Program (HMGP),Federal Emergency Management Agency,https://www.fema.gov/grants/mitigation/hazard-mitigation,,,25%,Researching,3,2,2,2.4000000000000004,Storage for resilience in muni sites
19,DOE Office of Science FA Program (DE‑FOA‑0003432),U.S. DOE Office of Science,https://science.osti.gov/fes/-/media/grants/pdf/foas/2024/DE-FOA-0003432-000002.pdf,2025-09-30,5000000.0,0%,Reviewed,1,2,2,0.8,Mostly research; niche applicability
